seq,time,latitude,longitude,altitude,status,service
0,1664902876.1205359,38.538071453026866,-121.79483787402633,-13.283896972528026,2,1
0,1664902876.2058122,38.5380714501182,-121.79483787004934,-13.28411860514846,2,1
0,1664902876.3239176,38.5380714676368,-121.79483786410661,-13.286106965229562,2,1
0,1664902876.415594,38.53807146483128,-121.79483785540538,-13.28407820708037,2,1
0,1664902876.5586667,38.538071453412456,-121.79483786545674,-13.284827677220589,2,1
0,1664902876.6020713,38.538071419973114,-121.79483788242298,-13.286291222911206,2,1
0,1664902876.7069106,38.538071406281595,-121.79483788814163,-13.284895956597111,2,1
0,1664902876.835937,38.53807138754254,-121.79483787454019,-13.284564377714455,2,1
0,1664902876.908982,38.538071360965795,-121.79483786368164,-13.283420254802971,2,1
0,1664902877.0070224,38.53807133706704,-121.79483784670826,-13.28238261926023,2,1
0,1664902877.1093197,38.538071302472574,-121.79483783681984,-13.2805885628986,2,1
0,1664902877.2020864,38.53807129874415,-121.79483781249353,-13.281603052927345,2,1
0,1664902877.3282073,38.53807128716087,-121.79483779892297,-13.2804593080576,2,1
0,1664902877.4111235,38.53807132882662,-121.79483781079934,-13.281236835221664,2,1
0,1664902877.563979,38.53807133397137,-121.79483783860991,-13.281514905530043,2,1
0,1664902877.6104007,38.53807133993654,-121.79483785810544,-13.283725642452858,2,1
0,1664902877.702517,38.5380713520839,-121.79483785253211,-13.281452020630235,2,1
0,1664902877.8193002,38.53807135901622,-121.79483785149206,-13.283861829429437,2,1
0,1664902877.9015772,38.538071347728135,-121.79483782033978,-13.283804738160718,2,1
0,1664902878.0074568,38.53807136428513,-121.79483779196661,-13.28037417603524,2,1
0,1664902878.108102,38.53807136480171,-121.79483779696052,-13.279559669389617,2,1
0,1664902878.2013934,38.5380713849668,-121.79483779143052,-13.281965400102374,2,1
0,1664902878.3447535,38.53807141955077,-121.79483777211166,-13.281435924879727,2,1
0,1664902878.4103436,38.538071441625426,-121.7948377609823,-13.28299185008346,2,1
0,1664902878.557448,38.53807143802467,-121.79483776312928,-13.285120667325259,2,1
0,1664902878.632339,38.53807143584477,-121.79483775430292,-13.283140157478547,2,1
0,1664902878.7060127,38.53807142287321,-121.79483774689561,-13.281021771416418,2,1
0,1664902878.8329182,38.53807140969087,-121.79483775441803,-13.283691097707987,2,1
0,1664902878.9108791,38.53807142542987,-121.79483776449533,-13.282271876440719,2,1
0,1664902879.0108352,38.53807143977627,-121.79483777868245,-13.282614561092167,2,1
1,1664902966.1233945,38.53807214169539,-121.79478481138733,-13.226782792854687,2,1
1,1664902966.2334576,38.538072153876925,-121.7947848100288,-13.227946215596447,2,1
1,1664902966.3241522,38.53807214414828,-121.7947848222097,-13.226882382518854,2,1
1,1664902966.4071512,38.53807215814466,-121.79478482357374,-13.22478810548563,2,1
1,1664902966.5731208,38.53807216204205,-121.79478483865789,-13.225008489159686,2,1
1,1664902966.656189,38.53807217403637,-121.79478486324358,-13.22719198115216,2,1
1,1664902966.7410264,38.5380721776063,-121.79478487730265,-13.226280601421994,2,1
1,1664902966.8201506,38.5380721923741,-121.7947848870049,-13.226100072436143,2,1
1,1664902966.9138143,38.5380721867014,-121.79478492006638,-13.225631546325404,2,1
1,1664902967.0732424,38.53807217854262,-121.79478494967067,-13.228937520535615,2,1
1,1664902967.1128817,38.538072198959014,-121.79478496212445,-13.229918806723463,2,1
1,1664902967.2364883,38.53807219156693,-121.79478494881586,-13.227412363780935,2,1
1,1664902967.304525,38.53807218037796,-121.79478494363654,-13.227075442623079,2,1
1,1664902967.4082336,38.53807218139351,-121.79478496078994,-13.227138522072067,2,1
1,1664902967.5759873,38.53807217650066,-121.7947849624138,-13.226717287454326,2,1
1,1664902967.6170356,38.53807218727893,-121.79478494353022,-13.226064075272623,2,1
1,1664902967.7410119,38.53807217672387,-121.79478491622322,-13.22763982918729,2,1
1,1664902967.8159022,38.53807217142461,-121.79478489560374,-13.225153011950205,2,1
1,1664902967.9088445,38.53807215019724,-121.79478488872316,-13.223436758724374,2,1
1,1664902968.0140798,38.53807217072758,-121.79478486366023,-13.22995723157369,2,1
1,1664902968.1123393,38.538072171444995,-121.7947848652105,-13.230028721841764,2,1
1,1664902968.2260163,38.538072186872434,-121.79478486542654,-13.232279140431222,2,1
1,1664902968.30637,38.53807220502493,-121.79478486702632,-13.230747039667792,2,1
1,1664902968.4065468,38.53807220598402,-121.79478487155853,-13.229927945659737,2,1
1,1664902968.5624142,38.53807220531643,-121.7947848555459,-13.230475331069186,2,1
1,1664902968.6057372,38.538072210761726,-121.79478485654556,-13.229546967200235,2,1
1,1664902968.7366037,38.53807221623464,-121.79478486030604,-13.23093560917771,2,1
1,1664902968.8203716,38.53807222652226,-121.79478485413877,-13.230547873756704,2,1
1,1664902968.9100504,38.53807225638358,-121.79478483433317,-13.232451770878908,2,1
1,1664902969.0961163,38.53807226598174,-121.79478480701607,-13.232265157153964,2,1
1,1664902969.1065667,38.53807228999962,-121.79478479878892,-13.232544541118825,2,1
2,1664903060.303497,38.538070568668275,-121.79473249863605,-13.288045500741863,2,1
2,1664903060.415845,38.5380705798833,-121.79473248586666,-13.285934084682872,2,1
2,1664903060.5632536,38.538070575044514,-121.79473247310908,-13.287144983490869,2,1
2,1664903060.619734,38.53807057211384,-121.79473247546727,-13.285688844394011,2,1
2,1664903060.7420652,38.53807059629115,-121.79473247057417,-13.288834778675767,2,1
2,1664903060.8144588,38.538070616218164,-121.79473246734668,-13.287663815603603,2,1
2,1664903060.9057724,38.538070614706356,-121.79473245704673,-13.288360743506686,2,1
2,1664903061.078908,38.53807061660345,-121.79473244033629,-13.28687705638317,2,1
