pos_x_center,pos_y_center,pos_x_upper,pos_y_upper,pos_x_lower,pos_y_lower,pos_seg_num
-11.895695,6.450455,-11.140571,16.636075,-12.650819,-3.735166,1.000000
-11.845633,6.437723,-11.087775,16.622402,-12.603491,-3.746956,1.000000
-11.795572,6.424862,-11.034980,16.608589,-12.556164,-3.758865,1.000000
-11.745510,6.411872,-10.982184,16.594637,-12.508837,-3.770893,1.000000
-11.695449,6.398753,-10.929388,16.580546,-12.461510,-3.783039,1.000000
-11.645387,6.385506,-10.876592,16.566316,-12.414183,-3.795304,1.000000
-11.595326,6.372131,-10.823797,16.551949,-12.366855,-3.807687,1.000000
-11.545264,6.358628,-10.771001,16.537443,-12.319528,-3.820187,1.000000
-11.495203,6.344998,-10.718205,16.522800,-12.272201,-3.832805,1.000000
-11.445141,6.331240,-10.665409,16.508020,-12.224874,-3.845539,1.000000
-11.395080,6.317356,-10.612613,16.493103,-12.177547,-3.858391,1.000000
-11.345018,6.303345,-10.559818,16.478049,-12.130219,-3.871359,1.000000
-11.294957,6.289209,-10.507022,16.462860,-12.082892,-3.884443,1.000000
-11.244895,6.274946,-10.454226,16.447535,-12.035565,-3.897642,1.000000
-11.194834,6.260559,-10.401430,16.432075,-11.988238,-3.910958,1.000000
-11.144772,6.246046,-10.348634,16.416480,-11.940910,-3.924388,1.000000
-11.094711,6.231408,-10.295839,16.400750,-11.893583,-3.937934,1.000000
-11.044649,6.216646,-10.243043,16.384886,-11.846256,-3.951593,1.000000
-10.994588,6.201760,-10.190247,16.368888,-11.798929,-3.965368,1.000000
-10.944526,6.186751,-10.137451,16.352757,-11.751602,-3.979256,1.000000
-10.894465,6.171618,-10.084656,16.336493,-11.704274,-3.993258,1.000000
-10.844403,6.156361,-10.031860,16.320096,-11.656947,-4.007373,1.000000
-10.794342,6.140983,-9.979064,16.303566,-11.609620,-4.021601,1.000000
-10.744280,6.125482,-9.926268,16.286905,-11.562293,-4.035942,1.000000
-10.694219,6.109858,-9.873472,16.270112,-11.514965,-4.050395,1.000000
-10.644157,6.094114,-9.820677,16.253187,-11.467638,-4.064960,1.000000
-10.594096,6.078247,-9.767881,16.236132,-11.420311,-4.079638,1.000000
-10.544034,6.062260,-9.715085,16.218946,-11.372984,-4.094426,1.000000
-10.493973,6.046152,-9.662289,16.201630,-11.325657,-4.109326,1.000000
-10.443911,6.029924,-9.609494,16.184185,-11.278329,-4.124337,1.000000
-10.393850,6.013576,-9.556698,16.166609,-11.231002,-4.139458,1.000000
-10.343788,5.997108,-9.503902,16.148905,-11.183675,-4.154690,1.000000
-10.293727,5.980520,-9.451106,16.131072,-11.136348,-4.170031,1.000000
-10.243665,5.963814,-9.398310,16.113110,-11.089020,-4.185482,1.000000
-10.193604,5.946989,-9.345515,16.095021,-11.041693,-4.201043,1.000000
-10.143542,5.930046,-9.292719,16.076804,-10.994366,-4.216712,1.000000
-10.093481,5.912985,-9.239923,16.058459,-10.947039,-4.232490,1.000000
-10.043419,5.895806,-9.187127,16.039988,-10.899712,-4.248377,1.000000
-9.993358,5.878509,-9.134331,16.021390,-10.852384,-4.264371,1.000000
-9.943296,5.861096,-9.081536,16.002666,-10.805057,-4.280474,1.000000
-9.893235,5.843566,-9.028740,15.983816,-10.757730,-4.296684,1.000000
-9.843173,5.825920,-8.975944,15.964841,-10.710403,-4.313001,1.000000
-9.793112,5.808158,-8.923148,15.945740,-10.663076,-4.329425,1.000000
-9.743050,5.790280,-8.870353,15.926515,-10.615748,-4.345955,1.000000
-9.692989,5.772287,-8.817557,15.907166,-10.568421,-4.362592,1.000000
-9.642927,5.754179,-8.764761,15.887692,-10.521094,-4.379335,1.000000
-9.592866,5.735956,-8.711965,15.868095,-10.473767,-4.396183,1.000000
-9.542804,5.717619,-8.659169,15.848375,-10.426439,-4.413137,1.000000
-9.492743,5.699168,-8.606374,15.828531,-10.379112,-4.430196,1.000000
-9.442681,5.680603,-8.553578,15.808566,-10.331785,-4.447359,1.000000
-9.392620,5.661925,-8.500782,15.788477,-10.284458,-4.464627,1.000000
-9.342558,5.643135,-8.447986,15.768268,-10.237131,-4.481999,1.000000
-9.292497,5.624231,-8.395191,15.747936,-10.189803,-4.499474,1.000000
-9.242435,5.605215,-8.342395,15.727484,-10.142476,-4.517053,1.000000
