pos_x_center,pos_y_center,pos_x_upper,pos_y_upper,pos_x_lower,pos_y_lower,pos_seg_num
-15.400000,1.800000,-15.267906,12.039148,-15.532094,-8.439148,1.000000
-15.349990,1.799294,-15.227002,12.038545,-15.472977,-8.439957,1.000000
-15.299979,1.798468,-15.186099,12.037794,-15.413860,-8.440858,1.000000
-15.249969,1.797522,-15.145195,12.036894,-15.354743,-8.441850,1.000000
-15.199959,1.796458,-15.104291,12.035848,-15.295626,-8.442932,1.000000
-15.149948,1.795275,-15.063387,12.034655,-15.236509,-8.444104,1.000000
-15.099938,1.793976,-15.022484,12.033316,-15.177392,-8.445365,1.000000
-15.049927,1.792560,-14.981580,12.031834,-15.118275,-8.446715,1.000000
-14.999917,1.791028,-14.940676,12.030208,-15.059158,-8.448151,1.000000
-14.949907,1.789382,-14.899773,12.028439,-15.000041,-8.449675,1.000000
-14.899896,1.787622,-14.858869,12.026529,-14.940924,-8.451285,1.000000
-14.849886,1.785749,-14.817965,12.024478,-14.881807,-8.452979,1.000000
-14.799876,1.783764,-14.777061,12.022287,-14.822690,-8.454759,1.000000
-14.749865,1.781668,-14.736158,12.019957,-14.763573,-8.456622,1.000000
-14.699855,1.779461,-14.695254,12.017490,-14.704456,-8.458569,1.000000
-14.649845,1.777144,-14.654350,12.014885,-14.645339,-8.460597,1.000000
-14.599834,1.774719,-14.613446,12.012145,-14.586222,-8.462708,1.000000
-14.549824,1.772185,-14.572543,12.009269,-14.527105,-8.464899,1.000000
-14.499813,1.769544,-14.531639,12.006259,-14.467988,-8.467170,1.000000
-14.449803,1.766797,-14.490735,12.003116,-14.408871,-8.469521,1.000000
-14.399793,1.763945,-14.449832,11.999840,-14.349754,-8.471951,1.000000
-14.349782,1.760987,-14.408928,11.996433,-14.290637,-8.474458,1.000000
-14.299772,1.757926,-14.368024,11.992895,-14.231520,-8.477043,1.000000
-14.249762,1.754762,-14.327120,11.989228,-14.172403,-8.479704,1.000000
-14.199751,1.751495,-14.286217,11.985432,-14.113286,-8.482441,1.000000
-14.149741,1.748128,-14.245313,11.981508,-14.054169,-8.485253,1.000000
-14.099731,1.744659,-14.204409,11.977457,-13.995052,-8.488139,1.000000
-14.049720,1.741091,-14.163505,11.973281,-13.935935,-8.491098,1.000000
-13.999710,1.737424,-14.122602,11.968979,-13.876818,-8.494131,1.000000
-13.949700,1.733659,-14.081698,11.964553,-13.817701,-8.497235,1.000000
-13.899689,1.729797,-14.040794,11.960004,-13.758584,-8.500411,1.000000
-13.849679,1.725838,-13.999891,11.955333,-13.699467,-8.503657,1.000000
-13.799668,1.721784,-13.958987,11.950541,-13.640350,-8.506974,1.000000
-13.749658,1.717634,-13.918083,11.945628,-13.581233,-8.510359,1.000000
-13.699648,1.713391,-13.877179,11.940595,-13.522116,-8.513813,1.000000
-13.649637,1.709055,-13.836276,11.935445,-13.462999,-8.517334,1.000000
-13.599627,1.704627,-13.795372,11.930176,-13.403882,-8.520922,1.000000
-13.549617,1.700107,-13.754468,11.924791,-13.344765,-8.524577,1.000000
-13.499606,1.695497,-13.713564,11.919290,-13.285648,-8.528296,1.000000
-13.449596,1.690796,-13.672661,11.913674,-13.226531,-8.532081,1.000000
-13.399586,1.686007,-13.631757,11.907944,-13.167414,-8.535930,1.000000
-13.349575,1.681130,-13.590853,11.902101,-13.108297,-8.539841,1.000000
