seq,lat_avg,lon_avg,period
0,38.53946517759477,-121.79483054576322,3.0
1,38.539463698640525,-121.79477906846547,3.0
2,38.53946257000775,-121.79472361697799,3.0
3,38.53946335544239,-121.79467219716565,3.0
4,38.53946173853091,-121.79461846344996,3.0
5,38.539461349216744,-121.79456797184774,3.0
