seq,time,latitude,longitude,altitude,status,service
0,1664906781.1481955,38.53946510439603,-121.7948304634803,-14.29551093382466,2,1
0,1664906781.233419,38.539465114578874,-121.7948304559995,-14.295563058964456,2,1
0,1664906781.3171608,38.53946511997369,-121.79483046000887,-14.295477479091005,2,1
0,1664906781.3947752,38.53946511045722,-121.79483046521523,-14.294549245728785,2,1
0,1664906781.4851584,38.53946509562364,-121.79483047722675,-14.295489291078722,2,1
0,1664906781.6110268,38.53946506315718,-121.79483049031568,-14.296403603800364,2,1
0,1664906781.6790442,38.53946505705709,-121.79483048813609,-14.297436272936777,2,1
0,1664906781.7841003,38.53946505892704,-121.79483052036879,-14.294822454698608,2,1
0,1664906781.880969,38.539465089693046,-121.7948305402979,-14.294829213172484,2,1
0,1664906781.9704568,38.53946509875375,-121.79483055824602,-14.295977481758067,2,1
0,1664906782.1083915,38.53946512383174,-121.79483058248891,-14.291462023904547,2,1
0,1664906782.231241,38.53946516265584,-121.79483060083443,-14.292448304108564,2,1
0,1664906782.276916,38.53946518008404,-121.79483060598963,-14.291168564820293,2,1
0,1664906782.3826451,38.53946519725082,-121.79483060744994,-14.29228608526093,2,1
0,1664906782.489133,38.53946521983356,-121.79483061024821,-14.291907184167497,2,1
0,1664906782.6082075,38.53946522970666,-121.79483058933879,-14.293128444359985,2,1
0,1664906782.6774557,38.53946525289334,-121.7948305780928,-14.289788948597375,2,1
0,1664906782.7843392,38.539465261420446,-121.79483057699686,-14.290249107007527,2,1
0,1664906782.8834915,38.53946526787509,-121.79483058252558,-14.290335257561054,2,1
0,1664906782.9743793,38.53946526859388,-121.79483056731118,-14.291683818084092,2,1
0,1664906783.1573935,38.53946527576567,-121.79483057154336,-14.289456548783294,2,1
0,1664906783.2449965,38.539465268168506,-121.79483055841555,-14.290588820287217,2,1
0,1664906783.291229,38.53946525004539,-121.79483053754,-14.291612666780708,2,1
0,1664906783.3810754,38.53946524489554,-121.79483053029217,-14.291368655843106,2,1
0,1664906783.4798894,38.5394652350044,-121.79483053275861,-14.29272425130759,2,1
0,1664906783.6158397,38.53946521919979,-121.7948305450356,-14.29064521547146,2,1
0,1664906783.6739178,38.53946521348967,-121.79483057212815,-14.291555562793324,2,1
0,1664906783.7796102,38.5394651903322,-121.79483058043458,-14.291024751513673,2,1
0,1664906783.885576,38.53946518226485,-121.79483056960439,-14.294595971071434,2,1
0,1664906783.974947,38.53946517191381,-121.79483055457233,-14.293040733278778,2,1
1,1664906796.237725,38.53946364839747,-121.79477910845253,-14.330472919396328,2,1
1,1664906796.2828043,38.53946361837819,-121.79477908800551,-14.331566470231039,2,1
1,1664906796.381098,38.53946360523495,-121.79477908171532,-14.331504429405296,2,1
1,1664906796.4851098,38.53946360646978,-121.79477906988609,-14.333282674605343,2,1
1,1664906796.605328,38.53946360519973,-121.79477907212501,-14.334240262816664,2,1
1,1664906796.6818488,38.53946362409623,-121.79477906022225,-14.33360572824209,2,1
1,1664906796.771009,38.53946362664304,-121.79477907324258,-14.332062624641141,2,1
1,1664906796.8768835,38.53946364635485,-121.79477906309818,-14.332187057709131,2,1
1,1664906796.9749534,38.53946366322874,-121.79477907144089,-14.333171412678379,2,1
1,1664906797.1556103,38.53946367886538,-121.79477910235687,-14.330958974029484,2,1
1,1664906797.247569,38.53946370178496,-121.79477912750441,-14.332840472272345,2,1
1,1664906797.2871385,38.53946371073112,-121.79477913323028,-14.33357295882218,2,1
1,1664906797.37718,38.53946374217864,-121.79477911173238,-14.333331498049807,2,1
1,1664906797.4863174,38.53946374165948,-121.79477910191332,-14.331565605850097,2,1
1,1664906797.5647519,38.53946375246357,-121.794779116715,-14.332240942039325,2,1
1,1664906797.6740196,38.53946376556735,-121.7947790777812,-14.332279541801766,2,1
1,1664906797.7809007,38.53946376755598,-121.79477905988081,-14.331138331605553,2,1
1,1664906797.882441,38.53946375923671,-121.79477904333402,-14.331243024677452,2,1
1,1664906797.9750493,38.53946375185433,-121.79477903908739,-14.332522545649107,2,1
1,1664906798.1069987,38.539463745426445,-121.79477901642436,-14.332539405409563,2,1
1,1664906798.2402992,38.53946374839498,-121.79477899931254,-14.33222025146913,2,1
1,1664906798.3177633,38.539463749295926,-121.79477901148277,-14.33417711036875,2,1
1,1664906798.3758655,38.53946373009662,-121.7947790157645,-14.331306687780906,2,1
1,1664906798.475028,38.539463700998986,-121.7947790302283,-14.332154705437645,2,1
1,1664906798.599634,38.53946368382128,-121.79477903713538,-14.331118190473559,2,1
1,1664906798.6755254,38.53946368417836,-121.79477903276378,-14.332481224612557,2,1
1,1664906798.7924988,38.53946369447028,-121.79477903864758,-14.333724953700377,2,1
1,1664906798.8784835,38.539463716235275,-121.79477906390828,-14.332696601839297,2,1
1,1664906798.9744797,38.539463734228626,-121.79477908962515,-14.332954993832299,2,1
1,1664906799.1374807,38.53946375616846,-121.79477911694757,-14.330147534749841,2,1
2,1664906812.0954547,38.539462633117246,-121.79472356604457,-14.295965091679772,2,1
2,1664906812.228932,38.539462636259934,-121.79472357530372,-14.297161181383077,2,1
2,1664906812.2799177,38.539462628573965,-121.79472357896314,-14.297510075602661,2,1
2,1664906812.3790667,38.53946262575978,-121.79472357766181,-14.29881876783329,2,1
2,1664906812.4890504,38.53946261116546,-121.79472357346243,-14.29898425427494,2,1
2,1664906812.6064172,38.53946260216109,-121.79472359085524,-14.299423710917617,2,1
2,1664906812.668706,38.53946257486884,-121.79472354568831,-14.293562069290003,2,1
2,1664906812.773988,38.53946255521372,-121.79472354696391,-14.293432489848556,2,1
2,1664906812.8784618,38.539462553178126,-121.79472357693591,-14.294191945586993,2,1
2,1664906812.9855423,38.53946253954931,-121.79472360086254,-14.29461693913548,2,1
2,1664906813.1639478,38.53946254449811,-121.79472361714562,-14.292942869533901,2,1
2,1664906813.240449,38.53946253847088,-121.79472364967036,-14.292909879567109,2,1
2,1664906813.281212,38.53946253341655,-121.79472367015816,-14.295350829125676,2,1
2,1664906813.3818893,38.539462539519135,-121.79472368158906,-14.294409016670912,2,1
2,1664906813.4868026,38.5394625500141,-121.79472368091682,-14.294656147548471,2,1
2,1664906813.6135225,38.539462556211255,-121.7947236696108,-14.296846587287517,2,1
2,1664906813.6780996,38.53946256792987,-121.79472364857419,-14.305118395292467,2,1
2,1664906813.767775,38.53946257892429,-121.79472365248797,-14.306934551701682,2,1
2,1664906813.8812437,38.53946258896908,-121.79472363142996,-14.305332190109251,2,1
2,1664906813.9874575,38.539462586469114,-121.79472362455792,-14.308046748669826,2,1
2,1664906814.1067061,38.53946258080021,-121.79472363152934,-14.305126832571009,2,1
2,1664906814.2310953,38.53946257900099,-121.79472364532775,-14.308356960073107,2,1
2,1664906814.278848,38.53946256988107,-121.79472362702646,-14.309548321755338,2,1
2,1664906814.380799,38.53946257236379,-121.79472364169905,-14.307413542876938,2,1
2,1664906814.4791586,38.5394625776039,-121.79472364166085,-14.308415906192321,2,1
