seq,lat_avg,lon_avg,period
0,38.538099201760375,-121.79401798873566,3.0
1,38.53815212854166,-121.79401794883343,3.0
2,38.53820789836367,-121.79401622639833,3.0
3,38.538261169342135,-121.79401729345504,3.0
4,38.53831980704686,-121.79401786758417,3.0
5,38.538371861935175,-121.79401584534295,3.0
6,38.53842658484499,-121.79401518489901,3.0
7,38.53848311353802,-121.79401309499544,3.0
8,38.53853776362583,-121.7940134495817,3.0
9,38.53859287897101,-121.79401309224849,3.0
10,38.53864848166486,-121.79401192317157,3.0
11,38.53870335855369,-121.79401324957506,3.0
12,38.538758464144045,-121.79401281427948,3.0
13,38.538811817524035,-121.79401139587814,3.0
14,38.53886767508037,-121.79401142308845,3.0
15,38.538922007627114,-121.79401114207487,3.0
16,38.53897660020855,-121.79400971869849,3.0
17,38.53903165975466,-121.79400936146774,3.0
18,38.53908750280191,-121.79400874048542,3.0
19,38.53914212344887,-121.79400870834458,3.0
20,38.5391968056035,-121.7940088133478,3.0
21,38.53925123348161,-121.79400804619432,3.0
22,38.5393072071253,-121.79400867050958,3.0
23,38.539360724549766,-121.7940080703325,3.0
24,38.53941662830338,-121.79400708489338,3.0
